Unnamed: 0,bp,sg,al,rbc,pc,pcc,ba,bu,sod,pot,hemo,pcv,rc,htn,cad,appet,pe,classification
age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11449904
bu,0.0,0.0,0.0,0.0,0.09318494,0.0,0.0,0.0,0.0,0.11247931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc,0.09537507,0.0,0.11554035,0.0,0.08735125,0.0,0.0,0.12729083,0.099941015,0.0,0.11400579,0.0,0.0,0.092640154,0.0,0.0,0.0,0.11295432
pot,0.0,0.0,0.0,0.087154105,0.0,0.0,0.08591694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10691183,0.0,0.0,0.0
hemo,0.0,0.096523315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12523553,0.12927671,0.0,0.0,0.0,0.0,0.106116906
wc,0.0,0.0,0.0,0.0,0.0,0.08973672,0.0,0.0,0.09790018,0.0,0.0,0.0,0.0,0.0,0.0,0.08565079,0.099263445,0.0
rc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1258197,0.0,0.0,0.0,0.0,0.0,0.0
